Employer,Registration_Date,Client_Current_Age,Parent_on_Enrolment,Gender,Ethnic_Origin,Has_Disability,Disability_details,Religion,Sexuality,Highest_Level_of_Education,Claiming_Benefits,Benefits,WARD_NAME
No Outcome,22-07-2021,29,Blanks,Female,(C) Asian or Asian British - Any other Asian background,No,NULL,Blanks,Prefer not to say sexuality,ISCED Level 6 (Bachelor's or equivalent level),No,Not in receipt of benefits,Whitechapel
No Outcome,24-08-2021,32,Blanks,Male,(C) Asian or Asian British - Any other Asian background,No,NULL,Blanks,Prefer not to say sexuality,ISCED Level 6 (Bachelor's or equivalent level),No,Not in receipt of benefits,Stepney Green
No Outcome,13-05-2021,48,Blanks,Female,(D) Black or Black British - Other African,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Forest
No Outcome,31-08-2021,55,Blanks,Male,(D) Black or Black British - Any other Black background,No,NULL,Blanks,No response to sexuality,ISCED Level 7 (Master's or equivalent level),Yes,NULL,NULL
No Outcome,31-08-2021,30,Blanks,Female,(A) White - Any other White background,No,NULL,Blanks,No response to sexuality,ISCED Level 2 (Lower secondary education),Yes,Prefer not to disclose benefits,Blackwall & Cubitt Town
No Outcome,31-08-2021,57,Blanks,Male,(A) White - British,No,NULL,Blanks,No response to sexuality,ISCED Level 6 (Bachelor's or equivalent level),Yes,NULL,Island Gardens
No Outcome,31-08-2021,34,Blanks,Male,(C) Asian or Asian British - Indian,No,NULL,Blanks,No response to sexuality,ISCED Level 7 (Master's or equivalent level),No,NULL,Island Gardens
No Outcome,01-07-2021,21,Blanks,Male,(C) Asian or Asian British - Any other Asian background,No,NULL,Blanks,Prefer not to say sexuality,ISCED Level 3 (Upper secondary education),Yes,Universal credit (UC),Mile End
No Outcome,27-08-2021,18,Blanks,Female,(C) Asian or Asian British - Bangladeshi,Yes,NULL,Blanks,Prefer not to say sexuality,ISCED Level 3 (Upper secondary education),No,Not in receipt of benefits,Mile End
No Outcome,06-04-2021,34,Blanks,Male,(D) Black or Black British - Caribbean,Prefer not to say,NULL,Blanks,Prefer not to say sexuality,Blanks,No,NULL,Canary Wharf
No Outcome,15-04-2021,32,Blanks,Female,(A) White - British,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,High Street
No Outcome,18-06-2021,32,Blanks,Female,(C) Asian or Asian British - Bangladeshi,Blanks,NULL,Muslim,Heterosexual,Blanks,Blanks,NULL,High Street
No Outcome,10-06-2021,33,Blanks,Female,(A) White - British,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,Bow East
No Outcome,03-03-2021,29,Blanks,Female,(D) Black or Black British - Any other Black background,No,NULL,Blanks,No response to sexuality,ISCED Level 4 (Post secondary - tertiary and non-tertiary),No,NULL,King's Park
